,ID,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD,GENDERIndex,GENDERclassVec,STATUSIndex,STATUSclassVec,HOMEOWNERIndex,HOMEOWNERclassVec,features,rawPrediction,probability,prediction,predictedLabel
10,33,M,S,0,3601,N,49,9570,111,2392,239,16,1,19,0,1.0,"(1,[],[])",1.0,"(2,[1],[1.0])",0.0,"(1,[0],[1.0])","[0.0,0.0,1.0,1.0,33.0,0.0,3601.0,49.0,9570.0,111.0,2392.0,239.0,16.0,1.0,19.0,0.0]","[15.648779750467451,0.0,4.35122024953255]","[0.7824389875233726,0.0,0.21756101247662749]",0.0,High
11,34,F,M,0,72642,N,28,18661,20,9330,933,5,1,10,933,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[1.0,1.0,0.0,1.0,34.0,0.0,72642.0,28.0,18661.0,20.0,9330.0,933.0,5.0,1.0,10.0,933.0]","[3.1925298135068907,16.172927266187422,0.6345429203056876]","[0.15962649067534454,0.8086463633093711,0.03172714601528438]",1.0,Low
12,35,F,S,0,98716,N,56,20972,13,10486,1048,3,2,7,0,0.0,"(1,[0],[1.0])",1.0,"(2,[1],[1.0])",0.0,"(1,[0],[1.0])","[1.0,0.0,1.0,1.0,35.0,0.0,98716.0,56.0,20972.0,13.0,10486.0,1048.0,3.0,2.0,7.0,0.0]","[15.490993668491583,3.1685639821627865,1.340442349345629]","[0.7745496834245792,0.15842819910813932,0.06702211746728146]",0.0,High
13,40,F,M,1,77129,Y,62,24772,20,12386,1238,5,4,5,1238,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",1.0,"(1,[],[])","[1.0,1.0,0.0,0.0,40.0,1.0,77129.0,62.0,24772.0,20.0,12386.0,1238.0,5.0,4.0,5.0,1238.0]","[1.8569549753177386,16.616000742300624,1.5270442823816397]","[0.09284774876588693,0.8308000371150313,0.07635221411908198]",1.0,Low
14,42,M,M,1,97180,N,51,8210,45,2052,205,6,5,15,0,1.0,"(1,[],[])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[0.0,1.0,0.0,1.0,42.0,1.0,97180.0,51.0,8210.0,45.0,2052.0,205.0,6.0,5.0,15.0,0.0]","[11.872629514563377,0.0,8.127370485436625]","[0.5936314757281689,0.0,0.40636852427183123]",0.0,High
15,45,M,S,0,64136,Y,61,16211,125,8105,810,31,4,8,0,1.0,"(1,[],[])",1.0,"(2,[1],[1.0])",1.0,"(1,[],[])","[0.0,0.0,1.0,0.0,45.0,0.0,64136.0,61.0,16211.0,125.0,8105.0,810.0,31.0,4.0,8.0,0.0]","[15.780339954182269,2.8113688538378,1.4082911919799286]","[0.7890169977091136,0.14056844269189,0.07041455959899644]",0.0,High
16,49,F,M,0,38538,N,12,22862,16,11431,1143,4,1,10,0,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[1.0,1.0,0.0,1.0,49.0,0.0,38538.0,12.0,22862.0,16.0,11431.0,1143.0,4.0,1.0,10.0,0.0]","[16.230121157442344,2.24610774859037,1.5237710939672848]","[0.8115060578721174,0.11230538742951852,0.07618855469836426]",0.0,High
17,52,F,S,1,13109,N,63,22382,40,11191,1119,10,2,7,0,0.0,"(1,[0],[1.0])",1.0,"(2,[1],[1.0])",0.0,"(1,[0],[1.0])","[1.0,0.0,1.0,1.0,52.0,1.0,13109.0,63.0,22382.0,40.0,11191.0,1119.0,10.0,2.0,7.0,0.0]","[16.06217758076612,2.370314402986118,1.5675080162477573]","[0.8031088790383062,0.11851572014930592,0.07837540081238788]",0.0,High
18,57,M,M,1,13091,N,59,22792,20,11396,1139,5,1,8,1139,1.0,"(1,[],[])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[0.0,1.0,0.0,1.0,57.0,1.0,13091.0,59.0,22792.0,20.0,11396.0,1139.0,5.0,1.0,8.0,1139.0]","[1.8671909024441298,17.78862390832435,0.34418518923151853]","[0.09335954512220651,0.8894311954162176,0.017209259461575928]",1.0,Low
19,59,F,M,1,20550,Y,22,27722,57,13861,1386,14,5,7,0,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",1.0,"(1,[],[])","[1.0,1.0,0.0,0.0,59.0,1.0,20550.0,22.0,27722.0,57.0,13861.0,1386.0,14.0,5.0,7.0,0.0]","[16.26576859119919,1.282814762488775,2.4514166463120324]","[0.8132884295599595,0.06414073812443874,0.12257083231560162]",0.0,High
20,62,F,S,2,83073,N,40,0,0,0,0,0,0,0,0,0.0,"(1,[0],[1.0])",1.0,"(2,[1],[1.0])",0.0,"(1,[0],[1.0])","(16,[0,2,3,4,5,6,7],[1.0,1.0,1.0,62.0,2.0,83073.0,40.0])","[19.98181818181818,0.0,0.01818181818181818]","[0.999090909090909,0.0,0.0009090909090909091]",0.0,High
21,64,F,S,2,2842,N,46,0,0,0,0,0,0,0,0,0.0,"(1,[0],[1.0])",1.0,"(2,[1],[1.0])",0.0,"(1,[0],[1.0])","(16,[0,2,3,4,5,6,7],[1.0,1.0,1.0,64.0,2.0,2842.0,46.0])","[20.0,0.0,0.0]","[1.0,0.0,0.0]",0.0,High
22,68,F,S,0,7325,N,37,28522,161,14261,1426,40,3,8,0,0.0,"(1,[0],[1.0])",1.0,"(2,[1],[1.0])",0.0,"(1,[0],[1.0])","[1.0,0.0,1.0,1.0,68.0,0.0,7325.0,37.0,28522.0,161.0,14261.0,1426.0,40.0,3.0,8.0,0.0]","[15.488671632615855,2.824506076214114,1.6868222911700306]","[0.7744335816307928,0.1412253038107057,0.08434111455850153]",0.0,High
23,72,M,M,2,1406,Y,19,11551,15,5775,577,3,5,9,577,1.0,"(1,[],[])",0.0,"(2,[0],[1.0])",1.0,"(1,[],[])","[0.0,1.0,0.0,0.0,72.0,2.0,1406.0,19.0,11551.0,15.0,5775.0,577.0,3.0,5.0,9.0,577.0]","[2.1466340014359546,16.296572718707576,1.5567932798564692]","[0.10733170007179774,0.8148286359353788,0.07783966399282347]",1.0,Low
24,74,F,S,2,76231,N,64,2010,150,502,50,22,3,13,0,0.0,"(1,[0],[1.0])",1.0,"(2,[1],[1.0])",0.0,"(1,[0],[1.0])","[1.0,0.0,1.0,1.0,74.0,2.0,76231.0,64.0,2010.0,150.0,502.0,50.0,22.0,3.0,13.0,0.0]","[4.155572578092175,0.0,15.844427421907824]","[0.20777862890460877,0.0,0.7922213710953911]",2.0,Medium
25,81,F,S,1,12686,N,65,23232,80,11616,1161,20,3,10,0,0.0,"(1,[0],[1.0])",1.0,"(2,[1],[1.0])",0.0,"(1,[0],[1.0])","[1.0,0.0,1.0,1.0,81.0,1.0,12686.0,65.0,23232.0,80.0,11616.0,1161.0,20.0,3.0,10.0,0.0]","[16.271089060585208,1.9440664827097858,1.7848444567050037]","[0.8135544530292605,0.09720332413548931,0.0892422228352502]",0.0,High
26,84,M,M,1,60102,N,42,9840,62,2460,246,9,1,20,0,1.0,"(1,[],[])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[0.0,1.0,0.0,1.0,84.0,1.0,60102.0,42.0,9840.0,62.0,2460.0,246.0,9.0,1.0,20.0,0.0]","[16.94092109788108,0.0,3.0590789021189226]","[0.8470460548940538,0.0,0.1529539451059461]",0.0,High
27,87,F,S,2,14578,Y,61,11911,95,5955,595,23,1,10,595,0.0,"(1,[0],[1.0])",1.0,"(2,[1],[1.0])",1.0,"(1,[],[])","[1.0,0.0,1.0,0.0,87.0,2.0,14578.0,61.0,11911.0,95.0,5955.0,595.0,23.0,1.0,10.0,595.0]","[1.9599828958525385,17.722082126414424,0.31793497773303664]","[0.09799914479262695,0.8861041063207213,0.015896748886651834]",1.0,Low
28,88,M,M,0,78572,Y,42,21812,29,10906,1090,7,5,8,0,1.0,"(1,[],[])",0.0,"(2,[0],[1.0])",1.0,"(1,[],[])","[0.0,1.0,0.0,0.0,88.0,0.0,78572.0,42.0,21812.0,29.0,10906.0,1090.0,7.0,5.0,8.0,0.0]","[15.328200190470902,3.178899839458276,1.49289997007082]","[0.7664100095235452,0.15894499197291384,0.07464499850354102]",0.0,High
29,89,F,M,2,48238,N,35,23282,168,11641,1164,42,4,6,0,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[1.0,1.0,0.0,1.0,89.0,2.0,48238.0,35.0,23282.0,168.0,11641.0,1164.0,42.0,4.0,6.0,0.0]","[16.045025396696033,2.9986477095875452,0.9563268937164192]","[0.8022512698348018,0.1499323854793773,0.047816344685820966]",0.0,High
30,90,F,M,0,28770,N,12,27992,16,13996,1399,4,2,5,0,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[1.0,1.0,0.0,1.0,90.0,0.0,28770.0,12.0,27992.0,16.0,13996.0,1399.0,4.0,2.0,5.0,0.0]","[13.988816298954745,3.1699368017427316,2.8412468993025213]","[0.6994408149477372,0.15849684008713658,0.14206234496512607]",0.0,High
31,98,M,S,0,2056,Y,19,24072,27,12036,1203,6,3,9,1203,1.0,"(1,[],[])",1.0,"(2,[1],[1.0])",1.0,"(1,[],[])","[0.0,0.0,1.0,0.0,98.0,0.0,2056.0,19.0,24072.0,27.0,12036.0,1203.0,6.0,3.0,9.0,1203.0]","[2.882139107967446,15.526284470284413,1.591576421748141]","[0.14410695539837232,0.7763142235142206,0.07957882108740705]",1.0,Low
32,100,M,M,1,2067,N,48,15251,70,7625,762,17,3,6,762,1.0,"(1,[],[])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[0.0,1.0,0.0,1.0,100.0,1.0,2067.0,48.0,15251.0,70.0,7625.0,762.0,17.0,3.0,6.0,762.0]","[2.2266972522614936,17.410208704523278,0.3630940432152308]","[0.11133486261307467,0.8705104352261638,0.018154702160761538]",1.0,Low
33,104,F,M,0,14932,N,52,4910,6,1227,122,0,3,14,0,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[1.0,1.0,0.0,1.0,104.0,0.0,14932.0,52.0,4910.0,6.0,1227.0,122.0,0.0,3.0,14.0,0.0]","[4.632310643202452,0.00980392156862745,15.357885435228921]","[0.2316155321601226,0.0004901960784313725,0.7678942717614461]",2.0,Medium
34,109,F,M,2,50561,N,52,16601,113,8300,830,28,1,9,830,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[1.0,1.0,0.0,1.0,109.0,2.0,50561.0,52.0,16601.0,113.0,8300.0,830.0,28.0,1.0,9.0,830.0]","[2.1829634756442635,17.015295455016094,0.8017410693396397]","[0.10914817378221317,0.8507647727508048,0.040087053466981985]",1.0,Low
35,111,F,M,2,194,N,42,28262,38,14131,1413,9,3,10,0,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[1.0,1.0,0.0,1.0,111.0,2.0,194.0,42.0,28262.0,38.0,14131.0,1413.0,9.0,3.0,10.0,0.0]","[16.193610555539532,2.158084674256067,1.6483047702043985]","[0.8096805277769767,0.10790423371280337,0.08241523851021994]",0.0,High
36,113,M,M,1,65619,Y,46,13561,144,6780,678,36,5,10,678,1.0,"(1,[],[])",0.0,"(2,[0],[1.0])",1.0,"(1,[],[])","[0.0,1.0,0.0,0.0,113.0,1.0,65619.0,46.0,13561.0,144.0,6780.0,678.0,36.0,5.0,10.0,678.0]","[2.2938027188337546,17.360726717652756,0.34547056351348926]","[0.11469013594168771,0.8680363358826376,0.01727352817567446]",1.0,Low
37,114,F,M,1,95620,Y,52,10911,93,5455,545,23,1,6,545,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",1.0,"(1,[],[])","[1.0,1.0,0.0,0.0,114.0,1.0,95620.0,52.0,10911.0,93.0,5455.0,545.0,23.0,1.0,6.0,545.0]","[1.4970328416868983,15.504108315383373,2.9988588429297276]","[0.07485164208434492,0.7752054157691687,0.14994294214648637]",1.0,Low
38,115,F,S,0,85275,N,47,22482,151,11241,1124,37,2,6,0,0.0,"(1,[0],[1.0])",1.0,"(2,[1],[1.0])",0.0,"(1,[0],[1.0])","[1.0,0.0,1.0,1.0,115.0,0.0,85275.0,47.0,22482.0,151.0,11241.0,1124.0,37.0,2.0,6.0,0.0]","[15.456742948167882,3.536820491739693,1.0064365600924257]","[0.7728371474083942,0.17684102458698464,0.05032182800462128]",0.0,High
39,117,F,M,1,98453,Y,46,13721,11,6860,686,2,3,9,0,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",1.0,"(1,[],[])","[1.0,1.0,0.0,0.0,117.0,1.0,98453.0,46.0,13721.0,11.0,6860.0,686.0,2.0,3.0,9.0,0.0]","[14.398174728382406,2.1632466430497566,3.4385786285678375]","[0.7199087364191203,0.10816233215248783,0.17192893142839188]",0.0,High
40,118,F,M,2,94026,Y,28,25002,10,12501,1250,2,1,10,0,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",1.0,"(1,[],[])","[1.0,1.0,0.0,0.0,118.0,2.0,94026.0,28.0,25002.0,10.0,12501.0,1250.0,2.0,1.0,10.0,0.0]","[15.360951845940114,2.286154446531805,2.3528937075280805]","[0.7680475922970057,0.11430772232659026,0.11764468537640402]",0.0,High
41,120,M,M,0,77000,N,44,3930,26,982,98,3,1,13,0,1.0,"(1,[],[])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[0.0,1.0,0.0,1.0,120.0,0.0,77000.0,44.0,3930.0,26.0,982.0,98.0,3.0,1.0,13.0,0.0]","[3.9968747427890405,0.0,16.003125257210957]","[0.19984373713945205,0.0,0.800156262860548]",2.0,Medium
42,128,F,M,1,87404,N,63,21632,139,10816,1081,34,4,6,1081,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[1.0,1.0,0.0,1.0,128.0,1.0,87404.0,63.0,21632.0,139.0,10816.0,1081.0,34.0,4.0,6.0,1081.0]","[2.6369696838991734,16.815247213799427,0.5477831023013985]","[0.13184848419495868,0.8407623606899713,0.027389155115069924]",1.0,Low
43,129,M,S,2,20919,N,28,6260,153,1565,156,22,4,11,0,1.0,"(1,[],[])",1.0,"(2,[1],[1.0])",0.0,"(1,[0],[1.0])","[0.0,0.0,1.0,1.0,129.0,2.0,20919.0,28.0,6260.0,153.0,1565.0,156.0,22.0,4.0,11.0,0.0]","[4.242134983559271,0.00980392156862745,15.7480610948721]","[0.21210674917796357,0.0004901960784313725,0.787403054743605]",2.0,Medium
44,135,F,S,1,27783,N,14,4970,18,1242,124,2,4,20,0,0.0,"(1,[0],[1.0])",1.0,"(2,[1],[1.0])",0.0,"(1,[0],[1.0])","[1.0,0.0,1.0,1.0,135.0,1.0,27783.0,14.0,4970.0,18.0,1242.0,124.0,2.0,4.0,20.0,0.0]","[15.244077686379143,0.0,4.7559223136208555]","[0.7622038843189571,0.0,0.23779611568104278]",0.0,High
45,145,M,S,1,16432,Y,21,20412,80,10206,1020,20,1,5,0,1.0,"(1,[],[])",1.0,"(2,[1],[1.0])",1.0,"(1,[],[])","[0.0,0.0,1.0,0.0,145.0,1.0,16432.0,21.0,20412.0,80.0,10206.0,1020.0,20.0,1.0,5.0,0.0]","[16.427343326991956,1.7984171718815014,1.7742395011265388]","[0.821367166349598,0.0899208585940751,0.08871197505632697]",0.0,High
46,147,M,S,1,71329,Y,42,14271,45,7135,713,11,4,8,713,1.0,"(1,[],[])",1.0,"(2,[1],[1.0])",1.0,"(1,[],[])","[0.0,0.0,1.0,0.0,147.0,1.0,71329.0,42.0,14271.0,45.0,7135.0,713.0,11.0,4.0,8.0,713.0]","[2.4091305967534717,17.261744464242465,0.32912493900406353]","[0.12045652983767359,0.8630872232121233,0.016456246950203177]",1.0,Low
47,150,M,M,2,67339,N,17,27832,48,13916,1391,12,2,7,0,1.0,"(1,[],[])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[0.0,1.0,0.0,1.0,150.0,2.0,67339.0,17.0,27832.0,48.0,13916.0,1391.0,12.0,2.0,7.0,0.0]","[16.70212573193056,1.7221678622192331,1.5757064058502055]","[0.8351062865965281,0.08610839311096166,0.07878532029251027]",0.0,High
48,158,F,M,2,59691,N,38,21942,256,10971,1097,64,2,9,1097,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[1.0,1.0,0.0,1.0,158.0,2.0,59691.0,38.0,21942.0,256.0,10971.0,1097.0,64.0,2.0,9.0,1097.0]","[1.735224376000803,17.90699933943214,0.3577762845670562]","[0.08676121880004015,0.895349966971607,0.01788881422835281]",1.0,Low
49,166,M,M,1,80000,N,53,0,0,0,0,0,0,0,0,1.0,"(1,[],[])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","(16,[1,3,4,5,6,7],[1.0,1.0,166.0,1.0,80000.0,53.0])","[19.953125,0.0,0.046875]","[0.99765625,0.0,0.00234375]",0.0,High
50,169,M,M,0,120000,Y,53,15271,25,7635,763,6,2,6,763,1.0,"(1,[],[])",0.0,"(2,[0],[1.0])",1.0,"(1,[],[])","[0.0,1.0,0.0,0.0,169.0,0.0,120000.0,53.0,15271.0,25.0,7635.0,763.0,6.0,2.0,6.0,763.0]","[2.778142921615716,16.379260045528877,0.8425970328554075]","[0.1389071460807858,0.8189630022764438,0.042129851642770375]",1.0,Low
51,170,F,M,2,8032,N,46,29682,59,14841,1484,14,5,8,1484,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[1.0,1.0,0.0,1.0,170.0,2.0,8032.0,46.0,29682.0,59.0,14841.0,1484.0,14.0,5.0,8.0,1484.0]","[2.1696012451229336,17.290521368616684,0.5398773862603798]","[0.1084800622561467,0.8645260684308343,0.026993869313018996]",1.0,Low
52,178,F,S,0,919,N,38,27282,93,13641,1364,23,4,8,0,0.0,"(1,[0],[1.0])",1.0,"(2,[1],[1.0])",0.0,"(1,[0],[1.0])","[1.0,0.0,1.0,1.0,178.0,0.0,919.0,38.0,27282.0,93.0,13641.0,1364.0,23.0,4.0,8.0,0.0]","[14.816854892192582,2.9195350559354565,2.2636100518719595]","[0.7408427446096291,0.14597675279677283,0.11318050259359798]",0.0,High
53,180,F,M,2,24482,N,34,0,0,0,0,0,0,0,0,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","(16,[0,1,3,4,5,6,7],[1.0,1.0,1.0,180.0,2.0,24482.0,34.0])","[20.0,0.0,0.0]","[1.0,0.0,0.0]",0.0,High
54,185,F,M,2,47010,N,57,2540,164,635,63,24,2,15,0,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[1.0,1.0,0.0,1.0,185.0,2.0,47010.0,57.0,2540.0,164.0,635.0,63.0,24.0,2.0,15.0,0.0]","[9.216560090339996,0.0,10.783439909660004]","[0.4608280045169998,0.0,0.5391719954830002]",2.0,Medium
55,186,F,S,1,67239,N,44,12891,53,6445,644,13,5,6,0,0.0,"(1,[0],[1.0])",1.0,"(2,[1],[1.0])",0.0,"(1,[0],[1.0])","[1.0,0.0,1.0,1.0,186.0,1.0,67239.0,44.0,12891.0,53.0,6445.0,644.0,13.0,5.0,6.0,0.0]","[14.271283930763678,2.3166456740913723,3.4120703951449474]","[0.713564196538184,0.11583228370456863,0.17060351975724738]",0.0,High
56,189,M,S,2,60095,Y,23,1710,116,427,42,17,1,18,0,1.0,"(1,[],[])",1.0,"(2,[1],[1.0])",1.0,"(1,[],[])","[0.0,0.0,1.0,0.0,189.0,2.0,60095.0,23.0,1710.0,116.0,427.0,42.0,17.0,1.0,18.0,0.0]","[15.843734452059692,0.0,4.156265547940309]","[0.7921867226029846,0.0,0.20781327739701544]",0.0,High
57,191,M,M,1,76511,N,62,21682,17,10841,1084,4,5,5,1084,1.0,"(1,[],[])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[0.0,1.0,0.0,1.0,191.0,1.0,76511.0,62.0,21682.0,17.0,10841.0,1084.0,4.0,5.0,5.0,1084.0]","[1.995450641317636,17.525927843096156,0.4786215155862082]","[0.0997725320658818,0.8762963921548078,0.02393107577931041]",1.0,Low
58,195,F,M,2,68462,N,34,24392,60,12196,1219,15,3,5,1219,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[1.0,1.0,0.0,1.0,195.0,2.0,68462.0,34.0,24392.0,60.0,12196.0,1219.0,15.0,3.0,5.0,1219.0]","[1.6406614946761067,17.175079084497085,1.1842594208268085]","[0.08203307473380533,0.8587539542248542,0.05921297104134042]",1.0,Low
59,201,F,M,1,82931,N,65,19241,118,9620,962,29,3,7,0,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[1.0,1.0,0.0,1.0,201.0,1.0,82931.0,65.0,19241.0,118.0,9620.0,962.0,29.0,3.0,7.0,0.0]","[16.53199141589009,2.319329821954541,1.148678762155365]","[0.8265995707945047,0.1159664910977271,0.05743393810776826]",0.0,High
60,203,F,S,2,21274,N,46,10871,32,5435,543,8,3,10,0,0.0,"(1,[0],[1.0])",1.0,"(2,[1],[1.0])",0.0,"(1,[0],[1.0])","[1.0,0.0,1.0,1.0,203.0,2.0,21274.0,46.0,10871.0,32.0,5435.0,543.0,8.0,3.0,10.0,0.0]","[16.155034583911764,2.5437631997322194,1.3012022163560162]","[0.8077517291955882,0.12718815998661098,0.0650601108178008]",0.0,High
61,204,F,M,2,28267,N,30,21872,192,10936,1093,48,1,5,1093,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",0.0,"(1,[0],[1.0])","[1.0,1.0,0.0,1.0,204.0,2.0,28267.0,30.0,21872.0,192.0,10936.0,1093.0,48.0,1.0,5.0,1093.0]","[2.3790419070168127,17.20376439905595,0.4171936939272367]","[0.11895209535084064,0.8601882199527975,0.020859684696361836]",1.0,Low
62,207,F,M,2,91861,Y,42,15321,6,7660,766,1,5,9,0,0.0,"(1,[0],[1.0])",0.0,"(2,[0],[1.0])",1.0,"(1,[],[])","[1.0,1.0,0.0,0.0,207.0,2.0,91861.0,42.0,15321.0,6.0,7660.0,766.0,1.0,5.0,9.0,0.0]","[16.67283356435292,1.479913309716423,1.8472531259306544]","[0.8336416782176462,0.07399566548582116,0.09236265629653273]",0.0,High
